	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0
GEN_INTER_FORC_TXTYTZ	0.078125	0.011	0.015625
Metafor	14.125	22.417	6.64062
ValuesManager	0.046875	0.043	0.046875
buildK_TXTYTZ	0.015625	0.013	0.015625
contactDetection	0	0	0
prepro	1.78125	4.67	2.21875
saveFacs	0	0.041	0.046875
solveK_TXTYTZ	0	0.002	0
steps	0.953125	0.888	0.109375
