	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0.03125	0.003	0
GEN_INTER_FORC_TXTYTZ	0	0.017	0
Metafor	12.8125	21.502	5.73438
ValuesManager	0.015625	0.035	0
buildK_TXTYTZ	0	0.016	0
contactDetection	0	0.007	0
prepro	1.70312	4.429	1.8125
saveFacs	0.03125	0.485	0.03125
solveK_TXTYTZ	0	0.002	0
steps	0.578125	0.762	0.15625
