	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0.03125	0.006	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.021	0.015625
Metafor	11.1719	20.778	5.92188
ValuesManager	0.046875	0.039	0.046875
buildK_TXTYTZ	0.015625	0.013	0.015625
contactDetection	0	0.006	0
prepro	1.54688	5.986	1.92188
saveFacs	0.0625	0.1	0.046875
solveK_TXTYTZ	0	0.004	0
steps	0.703125	0.739	0.046875
