	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0.03125	0.006	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.01	0.015625
Metafor	11.5938	20.813	5.32812
ValuesManager	0.03125	0.042	0.015625
buildK_TXTYTZ	0	0.026	0.015625
contactDetection	0	0.004	0
prepro	1.65625	6.104	1.64062
saveFacs	0	0.048	0.0625
solveK_TXTYTZ	0	0.001	0
steps	0.625	0.674	0.09375
