	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0	0.01	0
Metafor	9.5	15.829	5.54688
ValuesManager	0.03125	0.059	0.015625
buildK_TXTYTZ	0.03125	0.011	0
contactDetection	0	0.001	0
prepro	1.34375	2.686	1.76562
saveFacs	0.046875	0.047	0.109375
solveK_TXTYTZ	0	0	0
steps	0.53125	0.605	0.09375
