	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.016	0.015625
Metafor	9.95312	15.193	5.23438
ValuesManager	0.015625	0.036	0
buildK_TXTYTZ	0.046875	0.008	0.015625
contactDetection	0	0.001	0
prepro	1.64062	2.604	1.73438
saveFacs	0.015625	0.063	0.0625
solveK_TXTYTZ	0	0.001	0
steps	0.453125	0.534	0.0625
