	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0	0.019	0
Metafor	12.7969	36.797	6.23438
ValuesManager	0.03125	0.039	0.03125
buildK_TXTYTZ	0.0625	0.027	0.015625
contactDetection	0.015625	0.002	0.015625
prepro	2.26562	20.074	2.34375
saveFacs	0.015625	0.037	0.046875
solveK_TXTYTZ	0	0.002	0
steps	1	0.812	0.0625
