	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0	0.023	0
Metafor	13.9844	22.3	6.17188
ValuesManager	0.015625	0.046	0.078125
buildK_TXTYTZ	0.03125	0.014	0
contactDetection	0	0.004	0
prepro	1.89062	4.824	1.98438
saveFacs	0.03125	0.043	0.0625
solveK_TXTYTZ	0	0	0
steps	0.734375	0.784	0.0625
