	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0.046875	0.012	0.015625
Metafor	9.96875	15.362	5.07812
ValuesManager	0	0.038	0
buildK_TXTYTZ	0.015625	0.006	0.015625
contactDetection	0	0.003	0
prepro	1.42188	2.604	1.59375
saveFacs	0	0.033	0.03125
solveK_TXTYTZ	0	0.002	0
steps	0.515625	0.518	0.015625
