	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.01	0
Metafor	11.125	20.952	5.65625
ValuesManager	0.046875	0.032	0.015625
buildK_TXTYTZ	0	0.023	0
contactDetection	0	0.002	0
prepro	1.4375	6.776	2.04688
saveFacs	0.015625	0.035	0.046875
solveK_TXTYTZ	0	0	0
steps	0.71875	0.647	0.015625
