	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0.0625	0.018	0
Metafor	12.5156	21.277	6.5
ValuesManager	0	0.046	0.015625
buildK_TXTYTZ	0	0.016	0
contactDetection	0	0.005	0
prepro	1.42188	3.511	1.85938
saveFacs	0.03125	0.162	0.03125
solveK_TXTYTZ	0	0	0
steps	0.671875	0.853	0.078125
