	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0.0625	0.018	0
Metafor	11	21.934	4.96875
ValuesManager	0.078125	0.036	0.046875
buildK_TXTYTZ	0.046875	0.023	0
contactDetection	0	0.003	0
prepro	1.75	8.703	1.90625
saveFacs	0.046875	0.032	0.0625
solveK_TXTYTZ	0	0.001	0
steps	0.625	0.562	0.0625
