	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0
GEN_INTER_FORC_TXTYTZ	0.0625	0.016	0
Metafor	12.0938	18.826	5.0625
ValuesManager	0.015625	0.042	0.015625
buildK_TXTYTZ	0	0.011	0
contactDetection	0.015625	0.002	0.015625
prepro	1.875	4.437	1.60938
saveFacs	0.0625	0.044	0.03125
solveK_TXTYTZ	0	0.001	0
steps	0.8125	0.74	0.078125
