	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0.0625	0.013	0
Metafor	13.4219	22.103	6.64062
ValuesManager	0.078125	0.041	0.03125
buildK_TXTYTZ	0.09375	0.013	0.03125
contactDetection	0	0.003	0
prepro	1.95312	4.951	2.1875
saveFacs	0	0.037	0.03125
solveK_TXTYTZ	0	0	0
steps	0.90625	0.864	0.046875
