	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.013	0
Metafor	13.2344	25.067	6.0625
ValuesManager	0.015625	0.033	0.046875
buildK_TXTYTZ	0.046875	0.04	0.03125
contactDetection	0	0.008	0
prepro	1.75	8.062	2.09375
saveFacs	0	0.056	0.015625
solveK_TXTYTZ	0	0.001	0
steps	0.734375	0.942	0.109375
