	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0	0.018	0
Metafor	13.1719	21.96	6.125
ValuesManager	0.046875	0.036	0.0625
buildK_TXTYTZ	0	0.018	0
contactDetection	0	0.005	0
prepro	1.73438	5.106	1.95312
saveFacs	0.03125	0.042	0.03125
solveK_TXTYTZ	0	0	0
steps	0.671875	0.748	0.0625
