	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0.03125	0	0
GEN_INTER_FORC_TXTYTZ	0	0.01	0
Metafor	10.3438	16.073	4.92188
ValuesManager	0.078125	0.04	0.046875
buildK_TXTYTZ	0	0.006	0
contactDetection	0	0.001	0
prepro	1.70312	3.318	1.625
saveFacs	0.03125	0.044	0.0625
solveK_TXTYTZ	0	0	0
steps	0.546875	0.541	0.109375
