	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.01	0.015625
Metafor	9.57812	15.001	5
ValuesManager	0.03125	0.029	0.015625
buildK_TXTYTZ	0.03125	0.006	0
contactDetection	0	0.005	0
prepro	1.45312	2.648	1.71875
saveFacs	0.03125	0.048	0.03125
solveK_TXTYTZ	0	0.001	0
steps	0.4375	0.504	0.015625
