	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0.078125	0.014	0.015625
Metafor	13.125	22.407	6.25
ValuesManager	0.109375	0.033	0.015625
buildK_TXTYTZ	0.03125	0.017	0
contactDetection	0	0.004	0
prepro	1.79688	5.473	2.03125
saveFacs	0.015625	0.035	0.078125
solveK_TXTYTZ	0	0	0
steps	0.8125	0.924	0.03125
