	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.015	0
Metafor	10.2812	39.85	5.76562
ValuesManager	0.0625	0.075	0.09375
buildK_TXTYTZ	0.0625	0.008	0
contactDetection	0	0.004	0
prepro	1.28125	11.841	1.9375
saveFacs	0	0.029	0
solveK_TXTYTZ	0	0.003	0
steps	0.453125	0.526	0.0625
