	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.009	0
GEN_INTER_FORC_TXTYTZ	0	0.021	0
Metafor	12.2031	24.812	6.1875
ValuesManager	0.015625	0.042	0
buildK_TXTYTZ	0.03125	0.024	0
contactDetection	0	0.003	0
prepro	1.76562	9.496	2.10938
saveFacs	0.015625	0.037	0.078125
solveK_TXTYTZ	0.03125	0	0
steps	0.875	0.733	0.03125
