	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.008	0
GEN_INTER_FORC_TXTYTZ	0	0.013	0
Metafor	11.2656	17.18	5.46875
ValuesManager	0.015625	0.119	0.015625
buildK_TXTYTZ	0.09375	0.018	0
contactDetection	0	0.002	0
prepro	1.45312	2.595	1.78125
saveFacs	0.046875	0.038	0.03125
solveK_TXTYTZ	0.015625	0	0.015625
steps	0.6875	0.683	0.046875
