	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.009	0
GEN_INTER_FORC_TXTYTZ	0	0.017	0
Metafor	13.0312	24.858	5.82812
ValuesManager	0.046875	0.036	0.03125
buildK_TXTYTZ	0.03125	0.013	0.015625
contactDetection	0	0.004	0
prepro	2.14062	9.41	2.17188
saveFacs	0.03125	0.042	0.078125
solveK_TXTYTZ	0	0.003	0
steps	0.96875	0.758	0.0625
